age,gender,qualification,employability_status,years_of_experience,location,field_of_study,skills,training_courses_completed,employment_rate,unemployment_rate
44,Male,No Qualification,Unemployable,7,Rural,Education,"Public Speaking, Content Writing, Financial Analysis",7,48.53333333333333,51.46666666666667
38,Male,No Qualification,Unemployable,14,Rural,Law,"IoT Development, Machine Learning, Public Speaking",9,48.53333333333333,51.46666666666667
28,Male,No Qualification,Unemployable,14,Rural,Psychology,"Graphic Design, Blockchain, Time Management",7,48.53333333333333,51.46666666666667
30,Male,No Qualification,Unemployable,3,Rural,Computer Science,"Cloud Computing, Financial Analysis, IoT Development",6,48.53333333333333,51.46666666666667
35,Non-binary,Degree,Employable,4,Rural,Agriculture,"Mobile App Development, Graphic Design, Machine Learning",4,48.53333333333333,51.46666666666667
31,Non-binary,Degree,Employable,9,Rural,Architecture,"Time Management, Cloud Computing, Machine Learning",6,48.53333333333333,51.46666666666667
43,Non-binary,Degree,Employable,5,Rural,Social Work,"Cloud Computing, Time Management, Human Resources",10,48.53333333333333,51.46666666666667
36,Non-binary,Degree,Employable,2,Rural,Education,"SEO, IoT Development, Content Writing",8,48.53333333333333,51.46666666666667
40,Non-binary,Degree,Employable,15,Rural,Psychology,"Cybersecurity, Cloud Computing, SEO",0,48.53333333333333,51.46666666666667
27,Male,No Qualification,Employable,12,Urban,Psychology,"Blockchain, Mobile App Development, Time Management",8,48.53333333333333,51.46666666666667
20,Male,No Qualification,Employable,7,Urban,Agriculture,"Content Writing, Time Management, Graphic Design",9,48.53333333333333,51.46666666666667
35,Male,No Qualification,Employable,12,Urban,Finance,"Public Speaking, Mobile App Development, Machine Learning",9,48.53333333333333,51.46666666666667
22,Male,No Qualification,Unemployable,6,Urban,Architecture,"Cybersecurity, Content Writing, Mobile App Development",8,48.53333333333333,51.46666666666667
31,Male,No Qualification,Employable,13,Urban,Agriculture,"IoT Development, Digital Marketing, Machine Learning",0,48.53333333333333,51.46666666666667
43,Non-binary,No Qualification,Unemployable,13,Urban,Computer Science,"SEO, Blockchain, IoT Development",0,48.53333333333333,51.46666666666667
26,Non-binary,No Qualification,Unemployable,8,Urban,Agriculture,"Blockchain, Public Speaking, Graphic Design",2,48.53333333333333,51.46666666666667
27,Non-binary,No Qualification,Unemployable,5,Urban,Finance,"Mobile App Development, Digital Marketing, Machine Learning",2,48.53333333333333,51.46666666666667
38,Non-binary,No Qualification,Unemployable,11,Urban,Finance,"Data Analysis, Graphic Design, Mobile App Development",5,48.53333333333333,51.46666666666667
22,Non-binary,No Qualification,Unemployable,2,Urban,Education,"Mobile App Development, Data Analysis, Financial Analysis",3,48.53333333333333,51.46666666666667
41,Female,Diploma,Unemployable,9,Urban,Agriculture,"Blockchain, Content Writing, Graphic Design",4,48.53333333333333,51.46666666666667
35,Female,Diploma,Unemployable,5,Urban,Marketing,"Machine Learning, Blockchain, Data Analysis",9,48.53333333333333,51.46666666666667
31,Female,Diploma,Unemployable,13,Urban,Social Work,"Cloud Computing, Machine Learning, Graphic Design",3,48.53333333333333,51.46666666666667
37,Female,Diploma,Unemployable,6,Urban,Education,"Mobile App Development, Data Analysis, Graphic Design",0,48.53333333333333,51.46666666666667
21,Female,Diploma,Unemployable,5,Urban,Humanities,"Content Writing, IoT Development, Public Speaking",6,48.53333333333333,51.46666666666667
28,Male,Degree,Employable,8,Urban,Psychology,"Content Writing, Blockchain, Public Speaking",2,48.53333333333333,51.46666666666667
28,Male,Degree,Employable,13,Urban,Computer Science,"Blockchain, Financial Analysis, Graphic Design",4,48.53333333333333,51.46666666666667
41,Male,Degree,Employable,1,Urban,Marketing,"Cybersecurity, Mobile App Development, Public Speaking",0,48.53333333333333,51.46666666666667
29,Male,Degree,Employable,2,Urban,Environmental Science,"Cybersecurity, Financial Analysis, Machine Learning",1,48.53333333333333,51.46666666666667
34,Male,Degree,Employable,7,Urban,Social Work,"Cybersecurity, SEO, Financial Analysis",1,48.53333333333333,51.46666666666667
39,Male,Matric,Unemployable,7,Rural,Social Work,"Content Writing, Mobile App Development, Machine Learning",8,48.53333333333333,51.46666666666667
22,Male,Matric,Unemployable,14,Rural,Social Work,"Blockchain, Public Speaking, Cloud Computing",3,48.53333333333333,51.46666666666667
32,Male,Matric,Unemployable,1,Rural,Law,"Cybersecurity, Content Writing, Graphic Design",9,48.53333333333333,51.46666666666667
44,Male,Matric,Unemployable,1,Rural,Psychology,"IoT Development, Cybersecurity, Blockchain",9,48.53333333333333,51.46666666666667
23,Male,Matric,Unemployable,15,Rural,Social Work,"Human Resources, Cloud Computing, Digital Marketing",2,48.53333333333333,51.46666666666667
29,Non-binary,Diploma,Unemployable,1,Rural,Social Work,"Human Resources, Public Speaking, SEO",4,48.53333333333333,51.46666666666667
27,Non-binary,Diploma,Unemployable,0,Rural,Law,"Financial Analysis, Mobile App Development, Human Resources",10,48.53333333333333,51.46666666666667
28,Non-binary,Diploma,Unemployable,1,Rural,Psychology,"Human Resources, Digital Marketing, IoT Development",1,48.53333333333333,51.46666666666667
38,Non-binary,Diploma,Unemployable,11,Rural,Law,"IoT Development, Human Resources, Cybersecurity",1,48.53333333333333,51.46666666666667
23,Non-binary,Diploma,Unemployable,9,Rural,Psychology,"Cybersecurity, Blockchain, SEO",0,48.53333333333333,51.46666666666667
33,Male,Matric,Unemployable,13,Urban,Computer Science,"Public Speaking, SEO, Content Writing",7,48.53333333333333,51.46666666666667
32,Male,Matric,Unemployable,6,Urban,Humanities,"Graphic Design, Time Management, Digital Marketing",10,48.53333333333333,51.46666666666667
25,Male,Matric,Unemployable,6,Urban,Law,"Public Speaking, Financial Analysis, Time Management",0,48.53333333333333,51.46666666666667
36,Male,Matric,Unemployable,6,Urban,Education,"Financial Analysis, Public Speaking, SEO",7,48.53333333333333,51.46666666666667
20,Male,Matric,Unemployable,11,Urban,Finance,"Financial Analysis, IoT Development, Blockchain",3,48.53333333333333,51.46666666666667
33,Female,Matric,Employable,8,Urban,Marketing,"SEO, Digital Marketing, Blockchain",8,48.53333333333333,51.46666666666667
29,Female,Matric,Employable,7,Urban,Finance,"Time Management, Machine Learning, IoT Development",6,48.53333333333333,51.46666666666667
39,Female,Matric,Employable,5,Urban,Environmental Science,"Content Writing, Public Speaking, IoT Development",6,48.53333333333333,51.46666666666667
19,Female,Matric,Employable,2,Urban,Social Work,"Blockchain, Time Management, Content Writing",0,48.53333333333333,51.46666666666667
42,Female,Matric,Employable,14,Urban,Environmental Science,"Public Speaking, IoT Development, Time Management",2,48.53333333333333,51.46666666666667
29,Male,Diploma,Employable,3,Rural,Environmental Science,"Content Writing, Data Analysis, IoT Development",2,48.53333333333333,51.46666666666667
23,Male,Diploma,Employable,14,Rural,Humanities,"Blockchain, Machine Learning, Time Management",5,48.53333333333333,51.46666666666667
31,Male,Diploma,Employable,6,Rural,Finance,"Data Analysis, Machine Learning, Human Resources",4,48.53333333333333,51.46666666666667
28,Male,Diploma,Employable,2,Rural,Architecture,"SEO, Cybersecurity, Mobile App Development",4,48.53333333333333,51.46666666666667
20,Male,Diploma,Employable,4,Rural,Agriculture,"SEO, Time Management, IoT Development",8,48.53333333333333,51.46666666666667
25,Female,Diploma,Employable,5,Urban,Social Work,"Public Speaking, Cloud Computing, Graphic Design",6,48.53333333333333,51.46666666666667
19,Female,Diploma,Employable,7,Urban,Education,"Cybersecurity, SEO, Content Writing",5,48.53333333333333,51.46666666666667
18,Female,Diploma,Employable,4,Urban,Education,"Mobile App Development, Content Writing, Data Analysis",1,48.53333333333333,51.46666666666667
31,Female,Diploma,Employable,10,Urban,Law,"Public Speaking, Machine Learning, Digital Marketing",10,48.53333333333333,51.46666666666667
41,Female,Diploma,Employable,12,Urban,Marketing,"Public Speaking, IoT Development, SEO",2,48.53333333333333,51.46666666666667
25,Non-binary,Matric,Unemployable,1,Urban,Law,"Data Analysis, Mobile App Development, Cybersecurity",4,48.53333333333333,51.46666666666667
25,Non-binary,Matric,Unemployable,9,Urban,Architecture,"Content Writing, Machine Learning, SEO",3,48.53333333333333,51.46666666666667
30,Non-binary,Matric,Unemployable,4,Urban,Environmental Science,"Human Resources, Data Analysis, Cybersecurity",4,48.53333333333333,51.46666666666667
23,Non-binary,Matric,Unemployable,7,Urban,Finance,"IoT Development, Cloud Computing, Digital Marketing",8,48.53333333333333,51.46666666666667
45,Non-binary,Matric,Unemployable,2,Urban,Architecture,"Time Management, Human Resources, SEO",8,48.53333333333333,51.46666666666667
24,Male,Postgraduate,Unemployable,9,Rural,Law,"Human Resources, Cybersecurity, Data Analysis",5,48.53333333333333,51.46666666666667
21,Male,Postgraduate,Unemployable,1,Rural,Architecture,"Digital Marketing, Blockchain, Machine Learning",6,48.53333333333333,51.46666666666667
33,Male,Postgraduate,Unemployable,4,Rural,Marketing,"Mobile App Development, IoT Development, Time Management",2,48.53333333333333,51.46666666666667
21,Male,Postgraduate,Unemployable,6,Rural,Social Work,"Cloud Computing, SEO, Public Speaking",3,48.53333333333333,51.46666666666667
25,Male,Postgraduate,Unemployable,15,Rural,Humanities,"Mobile App Development, Data Analysis, Public Speaking",9,48.53333333333333,51.46666666666667
21,Male,Matric,Employable,14,Urban,Architecture,"Machine Learning, SEO, Human Resources",0,48.53333333333333,51.46666666666667
23,Male,Matric,Employable,12,Urban,Law,"Mobile App Development, Content Writing, Financial Analysis",6,48.53333333333333,51.46666666666667
28,Male,Matric,Employable,6,Urban,Psychology,"Mobile App Development, Financial Analysis, Content Writing",6,48.53333333333333,51.46666666666667
36,Male,Matric,Employable,15,Urban,Computer Science,"Cybersecurity, Financial Analysis, Digital Marketing",10,48.53333333333333,51.46666666666667
35,Male,Matric,Employable,12,Urban,Law,"Digital Marketing, Time Management, Human Resources",8,48.53333333333333,51.46666666666667
29,Female,Diploma,Unemployable,10,Rural,Architecture,"Graphic Design, Machine Learning, Public Speaking",9,48.53333333333333,51.46666666666667
43,Female,Diploma,Unemployable,6,Rural,Marketing,"Financial Analysis, Machine Learning, Public Speaking",0,48.53333333333333,51.46666666666667
31,Female,Diploma,Unemployable,8,Rural,Law,"Machine Learning, Public Speaking, IoT Development",0,48.53333333333333,51.46666666666667
19,Female,Diploma,Unemployable,3,Rural,Psychology,"IoT Development, Time Management, Machine Learning",8,48.53333333333333,51.46666666666667
42,Female,Diploma,Unemployable,11,Rural,Social Work,"Financial Analysis, Public Speaking, Cloud Computing",8,48.53333333333333,51.46666666666667
42,Non-binary,Diploma,Unemployable,14,Rural,Architecture,"Machine Learning, IoT Development, Mobile App Development",4,48.53333333333333,51.46666666666667
45,Non-binary,Diploma,Unemployable,12,Rural,Marketing,"Machine Learning, Content Writing, Financial Analysis",1,48.53333333333333,51.46666666666667
29,Non-binary,Diploma,Unemployable,14,Rural,Humanities,"IoT Development, Public Speaking, Machine Learning",0,48.53333333333333,51.46666666666667
33,Non-binary,Diploma,Unemployable,10,Rural,Agriculture,"Mobile App Development, Content Writing, Digital Marketing",4,48.53333333333333,51.46666666666667
33,Non-binary,Diploma,Unemployable,4,Rural,Environmental Science,"Blockchain, IoT Development, Mobile App Development",8,48.53333333333333,51.46666666666667
18,Male,Matric,Employable,5,Urban,Architecture,"Content Writing, Public Speaking, SEO",5,48.53333333333333,51.46666666666667
41,Male,Matric,Employable,11,Urban,Marketing,"Content Writing, Time Management, Machine Learning",3,48.53333333333333,51.46666666666667
31,Male,Matric,Employable,4,Urban,Psychology,"Public Speaking, Blockchain, Content Writing",0,48.53333333333333,51.46666666666667
18,Male,Matric,Employable,4,Urban,Humanities,"Cybersecurity, Digital Marketing, Machine Learning",9,48.53333333333333,51.46666666666667
43,Male,Matric,Employable,15,Urban,Architecture,"Content Writing, Machine Learning, Financial Analysis",3,48.53333333333333,51.46666666666667
32,Female,Degree,Unemployable,2,Urban,Marketing,"Machine Learning, Content Writing, Mobile App Development",4,48.53333333333333,51.46666666666667
40,Female,Degree,Unemployable,7,Urban,Education,"Blockchain, Graphic Design, Content Writing",5,48.53333333333333,51.46666666666667
24,Female,Degree,Unemployable,4,Urban,Education,"Machine Learning, Cloud Computing, Content Writing",2,48.53333333333333,51.46666666666667
28,Female,Degree,Unemployable,8,Urban,Agriculture,"Blockchain, Cybersecurity, Financial Analysis",1,48.53333333333333,51.46666666666667
32,Female,Degree,Unemployable,1,Urban,Agriculture,"Machine Learning, Cybersecurity, Human Resources",3,48.53333333333333,51.46666666666667
41,Female,Postgraduate,Employable,5,Rural,Psychology,"Cloud Computing, Human Resources, Time Management",0,48.53333333333333,51.46666666666667
25,Female,Postgraduate,Employable,8,Rural,Environmental Science,"Blockchain, Public Speaking, Cybersecurity",9,48.53333333333333,51.46666666666667
41,Female,Postgraduate,Employable,5,Rural,Social Work,"IoT Development, Blockchain, Digital Marketing",5,48.53333333333333,51.46666666666667
45,Female,Postgraduate,Employable,0,Rural,Architecture,"Mobile App Development, Graphic Design, Cybersecurity",9,48.53333333333333,51.46666666666667
25,Female,Postgraduate,Employable,9,Rural,Psychology,"SEO, Human Resources, Digital Marketing",0,48.53333333333333,51.46666666666667
36,Female,Degree,Unemployable,12,Urban,Marketing,"Machine Learning, Graphic Design, Cybersecurity",9,48.53333333333333,51.46666666666667
24,Female,Degree,Unemployable,14,Urban,Architecture,"Time Management, IoT Development, Mobile App Development",2,48.53333333333333,51.46666666666667
22,Female,Degree,Unemployable,12,Urban,Humanities,"Graphic Design, SEO, Cloud Computing",10,48.53333333333333,51.46666666666667
39,Female,Degree,Unemployable,6,Urban,Psychology,"SEO, Cybersecurity, Graphic Design",7,48.53333333333333,51.46666666666667
31,Female,Degree,Unemployable,13,Urban,Finance,"Cybersecurity, Public Speaking, Blockchain",6,48.53333333333333,51.46666666666667
37,Non-binary,Degree,Unemployable,0,Rural,Environmental Science,"Graphic Design, Digital Marketing, Public Speaking",7,48.53333333333333,51.46666666666667
36,Non-binary,Degree,Unemployable,13,Rural,Finance,"Content Writing, Machine Learning, Time Management",3,48.53333333333333,51.46666666666667
26,Non-binary,Degree,Unemployable,0,Rural,Social Work,"Data Analysis, Machine Learning, SEO",1,48.53333333333333,51.46666666666667
27,Non-binary,Degree,Unemployable,5,Rural,Marketing,"Human Resources, Cloud Computing, Financial Analysis",3,48.53333333333333,51.46666666666667
43,Non-binary,Degree,Unemployable,14,Rural,Computer Science,"Digital Marketing, Data Analysis, Time Management",10,48.53333333333333,51.46666666666667
36,Non-binary,Postgraduate,Employable,1,Rural,Agriculture,"IoT Development, Public Speaking, Cybersecurity",10,48.53333333333333,51.46666666666667
21,Non-binary,Postgraduate,Employable,12,Rural,Social Work,"Financial Analysis, Digital Marketing, Cloud Computing",0,48.53333333333333,51.46666666666667
25,Non-binary,Postgraduate,Employable,1,Rural,Humanities,"Blockchain, Cybersecurity, Mobile App Development",9,48.53333333333333,51.46666666666667
22,Non-binary,Postgraduate,Employable,10,Rural,Finance,"Financial Analysis, Mobile App Development, Public Speaking",8,48.53333333333333,51.46666666666667
30,Non-binary,Postgraduate,Employable,13,Rural,Law,"Digital Marketing, Financial Analysis, Graphic Design",5,48.53333333333333,51.46666666666667
22,Non-binary,Diploma,Employable,15,Urban,Psychology,"IoT Development, Data Analysis, Machine Learning",8,48.53333333333333,51.46666666666667
45,Non-binary,Diploma,Employable,4,Urban,Computer Science,"Content Writing, Financial Analysis, Time Management",8,48.53333333333333,51.46666666666667
18,Non-binary,Diploma,Employable,9,Urban,Computer Science,"Human Resources, Financial Analysis, Graphic Design",8,48.53333333333333,51.46666666666667
39,Non-binary,Diploma,Unemployable,8,Urban,Education,"Cybersecurity, Graphic Design, IoT Development",3,48.53333333333333,51.46666666666667
18,Non-binary,Diploma,Employable,15,Urban,Finance,"Cloud Computing, Mobile App Development, Financial Analysis",4,48.53333333333333,51.46666666666667
43,Non-binary,No Qualification,Unemployable,11,Urban,Humanities,"Data Analysis, Mobile App Development, Content Writing",2,48.53333333333333,51.46666666666667
31,Non-binary,No Qualification,Unemployable,5,Urban,Humanities,"Mobile App Development, Cloud Computing, Cybersecurity",7,48.53333333333333,51.46666666666667
27,Non-binary,No Qualification,Unemployable,12,Urban,Psychology,"Digital Marketing, Data Analysis, Mobile App Development",8,48.53333333333333,51.46666666666667
18,Non-binary,No Qualification,Unemployable,5,Urban,Education,"Human Resources, Graphic Design, Mobile App Development",1,48.53333333333333,51.46666666666667
42,Non-binary,No Qualification,Unemployable,12,Urban,Marketing,"Content Writing, Blockchain, Public Speaking",2,48.53333333333333,51.46666666666667
35,Female,Matric,Employable,13,Urban,Psychology,"Cybersecurity, Time Management, Human Resources",5,48.53333333333333,51.46666666666667
20,Female,Matric,Employable,9,Urban,Finance,"Cybersecurity, Cloud Computing, Human Resources",1,48.53333333333333,51.46666666666667
26,Female,Matric,Unemployable,0,Urban,Humanities,"SEO, Cybersecurity, Blockchain",2,48.53333333333333,51.46666666666667
34,Female,Matric,Employable,12,Urban,Humanities,"Cybersecurity, Financial Analysis, Blockchain",7,48.53333333333333,51.46666666666667
22,Female,Matric,Employable,11,Urban,Education,"Public Speaking, Graphic Design, Mobile App Development",7,48.53333333333333,51.46666666666667
36,Male,Matric,Unemployable,6,Urban,Education,"Human Resources, Public Speaking, Graphic Design",3,48.53333333333333,51.46666666666667
30,Male,Matric,Unemployable,14,Urban,Agriculture,"Cybersecurity, Content Writing, Data Analysis",8,48.53333333333333,51.46666666666667
42,Male,Matric,Unemployable,8,Urban,Agriculture,"Mobile App Development, Time Management, Graphic Design",8,48.53333333333333,51.46666666666667
20,Male,Matric,Unemployable,14,Urban,Humanities,"IoT Development, Data Analysis, Machine Learning",5,48.53333333333333,51.46666666666667
18,Male,Matric,Unemployable,9,Urban,Social Work,"Cybersecurity, Content Writing, Mobile App Development",0,48.53333333333333,51.46666666666667
19,Female,Degree,Unemployable,14,Urban,Finance,"Data Analysis, Digital Marketing, SEO",1,48.53333333333333,51.46666666666667
45,Female,Degree,Unemployable,4,Urban,Computer Science,"Machine Learning, Human Resources, Cloud Computing",2,48.53333333333333,51.46666666666667
40,Female,Degree,Unemployable,14,Urban,Computer Science,"Blockchain, Public Speaking, Machine Learning",9,48.53333333333333,51.46666666666667
36,Female,Degree,Unemployable,14,Urban,Psychology,"Public Speaking, Human Resources, Time Management",3,48.53333333333333,51.46666666666667
31,Female,Degree,Unemployable,1,Urban,Humanities,"Blockchain, Digital Marketing, Data Analysis",8,48.53333333333333,51.46666666666667
38,Female,Postgraduate,Unemployable,4,Urban,Environmental Science,"Data Analysis, SEO, Digital Marketing",6,48.53333333333333,51.46666666666667
31,Female,Postgraduate,Unemployable,12,Urban,Humanities,"Financial Analysis, Graphic Design, Time Management",4,48.53333333333333,51.46666666666667
22,Female,Postgraduate,Unemployable,8,Urban,Social Work,"Graphic Design, Blockchain, Financial Analysis",7,48.53333333333333,51.46666666666667
41,Female,Postgraduate,Unemployable,3,Urban,Humanities,"Content Writing, Blockchain, Human Resources",8,48.53333333333333,51.46666666666667
38,Female,Postgraduate,Unemployable,13,Urban,Law,"Human Resources, Public Speaking, Time Management",5,48.53333333333333,51.46666666666667
31,Non-binary,Degree,Employable,5,Urban,Humanities,"Data Analysis, IoT Development, Human Resources",4,48.53333333333333,51.46666666666667
41,Non-binary,Degree,Employable,7,Urban,Psychology,"Digital Marketing, SEO, Content Writing",6,48.53333333333333,51.46666666666667
39,Non-binary,Degree,Employable,5,Urban,Social Work,"Cloud Computing, IoT Development, Human Resources",1,48.53333333333333,51.46666666666667
39,Non-binary,Degree,Employable,5,Urban,Finance,"Data Analysis, Human Resources, Public Speaking",5,48.53333333333333,51.46666666666667
29,Non-binary,Degree,Employable,7,Urban,Social Work,"Mobile App Development, Cybersecurity, Human Resources",8,48.53333333333333,51.46666666666667
43,Non-binary,Postgraduate,Unemployable,10,Urban,Finance,"Blockchain, Digital Marketing, Cybersecurity",8,48.53333333333333,51.46666666666667
44,Non-binary,Postgraduate,Unemployable,1,Urban,Finance,"Digital Marketing, Blockchain, Data Analysis",0,48.53333333333333,51.46666666666667
36,Non-binary,Postgraduate,Unemployable,13,Urban,Finance,"IoT Development, Mobile App Development, Graphic Design",6,48.53333333333333,51.46666666666667
44,Non-binary,Postgraduate,Unemployable,8,Urban,Education,"Public Speaking, Graphic Design, Blockchain",10,48.53333333333333,51.46666666666667
30,Non-binary,Postgraduate,Unemployable,1,Urban,Psychology,"Machine Learning, Mobile App Development, SEO",4,48.53333333333333,51.46666666666667
20,Female,No Qualification,Unemployable,1,Rural,Humanities,"Cybersecurity, Content Writing, Time Management",7,48.53333333333333,51.46666666666667
32,Female,No Qualification,Unemployable,4,Rural,Social Work,"Human Resources, IoT Development, Digital Marketing",2,48.53333333333333,51.46666666666667
22,Female,No Qualification,Unemployable,14,Rural,Social Work,"Content Writing, Data Analysis, Public Speaking",4,48.53333333333333,51.46666666666667
39,Female,No Qualification,Unemployable,4,Rural,Computer Science,"Digital Marketing, Data Analysis, Cloud Computing",5,48.53333333333333,51.46666666666667
37,Female,No Qualification,Unemployable,5,Rural,Architecture,"Public Speaking, Digital Marketing, Content Writing",10,48.53333333333333,51.46666666666667
26,Non-binary,Matric,Employable,5,Urban,Environmental Science,"Time Management, Human Resources, Cloud Computing",3,48.53333333333333,51.46666666666667
24,Non-binary,Matric,Employable,11,Urban,Social Work,"Human Resources, IoT Development, Public Speaking",0,48.53333333333333,51.46666666666667
19,Non-binary,Matric,Employable,9,Urban,Social Work,"Time Management, Human Resources, Blockchain",7,48.53333333333333,51.46666666666667
26,Non-binary,Matric,Employable,11,Urban,Psychology,"Time Management, Data Analysis, Content Writing",2,48.53333333333333,51.46666666666667
43,Non-binary,Matric,Employable,4,Urban,Marketing,"Public Speaking, Machine Learning, Cybersecurity",7,48.53333333333333,51.46666666666667
35,Non-binary,Postgraduate,Employable,7,Urban,Computer Science,"Mobile App Development, Cloud Computing, Digital Marketing",9,48.53333333333333,51.46666666666667
20,Non-binary,Postgraduate,Employable,8,Urban,Architecture,"Digital Marketing, Machine Learning, Human Resources",2,48.53333333333333,51.46666666666667
27,Non-binary,Postgraduate,Employable,7,Urban,Social Work,"Financial Analysis, Cybersecurity, Public Speaking",3,48.53333333333333,51.46666666666667
22,Non-binary,Postgraduate,Employable,11,Urban,Agriculture,"IoT Development, Mobile App Development, Graphic Design",2,48.53333333333333,51.46666666666667
37,Non-binary,Postgraduate,Employable,13,Urban,Agriculture,"Cloud Computing, SEO, Financial Analysis",4,48.53333333333333,51.46666666666667
45,Male,Degree,Employable,1,Urban,Education,"Time Management, Machine Learning, Data Analysis",7,48.53333333333333,51.46666666666667
21,Male,Degree,Employable,0,Urban,Architecture,"IoT Development, Human Resources, SEO",8,48.53333333333333,51.46666666666667
23,Male,Degree,Employable,3,Urban,Law,"Time Management, Financial Analysis, Human Resources",2,48.53333333333333,51.46666666666667
37,Male,Degree,Employable,13,Urban,Agriculture,"Digital Marketing, Blockchain, SEO",10,48.53333333333333,51.46666666666667
33,Male,Degree,Employable,3,Urban,Environmental Science,"Graphic Design, Digital Marketing, Machine Learning",8,48.53333333333333,51.46666666666667
42,Non-binary,Diploma,Employable,8,Rural,Architecture,"SEO, Cloud Computing, Financial Analysis",3,48.53333333333333,51.46666666666667
36,Non-binary,Diploma,Employable,10,Rural,Education,"Data Analysis, Machine Learning, Time Management",7,48.53333333333333,51.46666666666667
37,Non-binary,Diploma,Employable,7,Rural,Agriculture,"Cybersecurity, Cloud Computing, Financial Analysis",0,48.53333333333333,51.46666666666667
22,Non-binary,Diploma,Employable,8,Rural,Agriculture,"Financial Analysis, Digital Marketing, Content Writing",10,48.53333333333333,51.46666666666667
24,Non-binary,Diploma,Employable,9,Rural,Agriculture,"Financial Analysis, Data Analysis, SEO",3,48.53333333333333,51.46666666666667
29,Non-binary,Postgraduate,Unemployable,9,Rural,Education,"Cybersecurity, Mobile App Development, Cloud Computing",1,48.53333333333333,51.46666666666667
23,Non-binary,Postgraduate,Unemployable,15,Rural,Humanities,"Content Writing, Data Analysis, Financial Analysis",5,48.53333333333333,51.46666666666667
24,Non-binary,Postgraduate,Unemployable,0,Rural,Agriculture,"Financial Analysis, Graphic Design, Public Speaking",1,48.53333333333333,51.46666666666667
35,Non-binary,Postgraduate,Unemployable,8,Rural,Agriculture,"SEO, Graphic Design, Mobile App Development",7,48.53333333333333,51.46666666666667
44,Non-binary,Postgraduate,Unemployable,9,Rural,Psychology,"Digital Marketing, Cybersecurity, Human Resources",3,48.53333333333333,51.46666666666667
36,Female,Postgraduate,Unemployable,14,Urban,Environmental Science,"Public Speaking, Graphic Design, Human Resources",0,48.53333333333333,51.46666666666667
26,Female,Postgraduate,Employable,6,Urban,Marketing,"Machine Learning, Financial Analysis, Content Writing",10,48.53333333333333,51.46666666666667
33,Female,Postgraduate,Employable,15,Urban,Environmental Science,"Cloud Computing, Data Analysis, Cybersecurity",8,48.53333333333333,51.46666666666667
39,Female,Postgraduate,Employable,10,Urban,Computer Science,"IoT Development, Digital Marketing, Financial Analysis",4,48.53333333333333,51.46666666666667
27,Female,Postgraduate,Employable,5,Urban,Computer Science,"Mobile App Development, IoT Development, Content Writing",6,48.53333333333333,51.46666666666667
34,Female,Matric,Unemployable,4,Rural,Humanities,"SEO, Cloud Computing, Data Analysis",3,48.53333333333333,51.46666666666667
18,Female,Matric,Unemployable,3,Rural,Architecture,"Blockchain, Machine Learning, Cybersecurity",6,48.53333333333333,51.46666666666667
38,Female,Matric,Unemployable,6,Rural,Architecture,"Human Resources, Data Analysis, SEO",6,48.53333333333333,51.46666666666667
27,Female,Matric,Unemployable,11,Rural,Computer Science,"SEO, Cybersecurity, Blockchain",10,48.53333333333333,51.46666666666667
44,Female,Matric,Unemployable,7,Rural,Law,"Content Writing, Mobile App Development, Human Resources",0,48.53333333333333,51.46666666666667
41,Female,Matric,Unemployable,14,Rural,Agriculture,"SEO, Machine Learning, Public Speaking",6,48.53333333333333,51.46666666666667
31,Female,Matric,Unemployable,1,Rural,Finance,"Time Management, Financial Analysis, Content Writing",1,48.53333333333333,51.46666666666667
40,Female,Matric,Unemployable,13,Rural,Marketing,"Data Analysis, Cybersecurity, Machine Learning",9,48.53333333333333,51.46666666666667
38,Female,Matric,Unemployable,0,Rural,Law,"Content Writing, Public Speaking, Cybersecurity",7,48.53333333333333,51.46666666666667
42,Female,Matric,Unemployable,9,Rural,Marketing,"Financial Analysis, IoT Development, Cybersecurity",0,48.53333333333333,51.46666666666667
34,Non-binary,Postgraduate,Unemployable,4,Urban,Social Work,"Public Speaking, Digital Marketing, Machine Learning",10,48.53333333333333,51.46666666666667
29,Non-binary,Postgraduate,Unemployable,0,Urban,Law,"Financial Analysis, SEO, Machine Learning",6,48.53333333333333,51.46666666666667
33,Non-binary,Postgraduate,Unemployable,15,Urban,Architecture,"SEO, Data Analysis, Cloud Computing",8,48.53333333333333,51.46666666666667
38,Non-binary,Postgraduate,Unemployable,9,Urban,Computer Science,"Graphic Design, Financial Analysis, Public Speaking",4,48.53333333333333,51.46666666666667
39,Non-binary,Postgraduate,Unemployable,5,Urban,Law,"Digital Marketing, Time Management, SEO",7,48.53333333333333,51.46666666666667
29,Male,No Qualification,Employable,3,Urban,Psychology,"Public Speaking, Blockchain, SEO",9,48.53333333333333,51.46666666666667
24,Male,No Qualification,Employable,5,Urban,Architecture,"Time Management, Data Analysis, Digital Marketing",9,48.53333333333333,51.46666666666667
45,Male,No Qualification,Unemployable,10,Urban,Finance,"IoT Development, Cloud Computing, Public Speaking",1,48.53333333333333,51.46666666666667
32,Male,No Qualification,Employable,8,Urban,Finance,"Public Speaking, Digital Marketing, Cloud Computing",0,48.53333333333333,51.46666666666667
39,Male,No Qualification,Employable,14,Urban,Marketing,"Data Analysis, Graphic Design, Public Speaking",4,48.53333333333333,51.46666666666667
